state,shootings,population,political
Louisiana,44,"4,627,002",r
Alabama,42,"4,934,193",r
Delaware,8,"990,334",d
Maryland,47,"6,065,436",d
Montana,8,"1,085,004",r
Michigan,70,"9,992,427",d
Alaska,5,"724,357",r
Tennessee,46,"6,944,260",r
Missouri,39,"6,169,038",r
Arkansas,18,"3,033,946",r
Mississippi,17,"2,966,407",r
Illinois,65,"12,569,321",d
South Carolina,27,"5,277,830",r
Connecticut,18,"3,552,821",d
New Mexico,10,"2,105,005",d
Ohio,55,"11,714,618",r
Texas,135,"29,730,311",r
South Dakota,4,"896,581",r
New Hampshire,6,"1,372,203",d
Georgia,46,"10,830,007",d
Pennsylvania,54,"12,804,123",d
California,164,"39,613,493",d
Washington,32,"7,796,941",d
Florida,90,"21,944,577",r
Nevada,13,"3,185,786",d
North Carolina,43,"10,701,022",r
Utah,13,"3,310,774",r
Iowa,12,"3,167,974",r
Rhode Island,4,"1,061,509",d
Nebraska,7,"1,951,996",r
Indiana,24,"6,805,663",r
Wyoming,2,"581,075",r
Kansas,10,"2,917,224",r
Colorado,20,"5,893,634",d
Oregon,14,"4,289,439",d
Vermont,2,"623,251",d
Kentucky,14,"4,480,713",r
Virginia,25,"8,603,985",d
Oklahoma,11,"3,990,443",r
Wisconsin,15,"5,852,490",d
New York,49,"19,299,981",d
Hawaii,3,"1,406,430",d
Minnesota,12,"5,706,398",d
Massachusetts,14,"6,912,239",d
West Virginia,3,"1,767,859",r
Arizona,12,"7,520,103",d
Maine,2,"1,354,522",d
New Jersey,12,"8,874,520",d
North Dakota,1,"770,026",r
Idaho,2,"1,860,123",r